name;lat;lng;capital
Lannion;48.7325;-3.4553;minor
Albertville;45.6758;6.3925;minor
Hem;50.6553;3.1878;
Bouguenais;47.1775;-1.6214;
L'Isle-sur-la-Sorgue;43.9194;5.0514;
Villefontaine;45.6133;5.1486;
Le Puy-en-Velay;45.0433;3.885;minor
Concarneau;47.8753;-3.9189;
Cahors;44.4475;1.4406;minor
Saint-Die-des-Vosges;48.2842;6.9492;minor
La Chapelle-sur-Erdre;47.2989;-1.5528;
Plaisance-du-Touch;43.5656;1.2964;
Bressuire;46.84;-0.4886;minor
Cognac;45.6958;-0.3292;minor
Saint-Lo;49.1144;-1.0917;minor
Selestat;48.2594;7.4542;minor
Brie-Comte-Robert;48.6925;2.6111;
Riom;45.8936;3.1125;minor
Bruz;48.0247;-1.7458;
Sorgues;44.0083;4.8725;
Royan;45.6231;-1.0431;
Fecamp;49.7575;0.3792;
Vence;43.7225;7.1119;
La Crau;43.1497;6.0742;
Meylan;45.2086;5.7794;
Louviers;49.2153;1.1656;
Moissy-Cramayel;48.6261;2.5922;
Luneville;48.5894;6.5017;minor
Vitre;48.1233;-1.2094;
Avion;50.4097;2.8328;
Montceau-les-Mines;46.6669;4.3689;
Boissy-Saint-Leger;48.7503;2.5097;
Le Pontet;43.9642;4.86;
Osny;49.0592;2.0625;
Bagnols-sur-Ceze;44.1625;4.62;
Limay;48.9933;1.7358;
Cluses;46.0603;6.5786;
Firminy;45.3881;4.2872;
L'Isle-d'Abeau;45.6194;5.2331;
Carvin;50.4931;2.9581;
Yutz;49.3589;6.1886;
Ploemeur;47.7358;-3.4311;
Chateauneuf-les-Martigues;43.3831;5.1642;
Port-de-Bouc;43.405;4.9886;
Lattes;43.5678;3.9021;
Pontarlier;46.9061;6.3547;minor
Marmande;44.5;0.1653;minor
Cesson-Sevigne;48.1208;-1.6036;
Orsay;48.6981;2.1875;
Sanary-sur-Mer;43.1192;5.8022;
Verdun;49.1597;5.3828;minor
Verneuil-sur-Seine;48.9797;1.9739;
Saint-Cyr-sur-Loire;47.4028;0.6781;
Balma;43.6103;1.4986;
Brignoles;43.4058;6.0617;minor
Saint-Egreve;45.2317;5.6831;
Saint-Pierre-des-Corps;47.3908;0.7281;
Saint-Julien-en-Genevois;46.1442;6.0842;minor
Domont;49.0275;2.3267;
Saint-Maximin-la-Sainte-Baume;43.4533;5.8619;
Hayange;49.3297;6.0619;
Ambares-et-Lagrave;44.9247;-0.4867;
Cestas;44.7444;-0.6822;
Elbeuf;49.2858;1.0083;
Saran;47.9514;1.8803;
Sedan;49.7019;4.9403;minor
Landerneau;48.4508;-4.2494;
Villeneuve-Loubet;43.6581;7.1214;
Sallanches;45.9364;6.6319;
Mauguio;43.6164;4.0075;
Annonay;45.24;4.6708;
Escoublac;47.2858;-2.3922;
Tourlaville;49.6408;-1.5789;
Hennebont;47.8042;-3.2789;
Montbrison;45.6075;4.0653;minor
Sin-le-Noble;50.3631;3.1131;
Vendome;47.7928;1.0656;minor
Illzach;47.7822;7.3481;
Francheville;45.7364;4.7636;
Rumilly;45.8667;5.9444;
Mennecy;48.5653;2.4361;
Sainte-Luce-sur-Loire;47.2494;-1.4867;
Digne-les-Bains;44.0925;6.2356;minor
Vesoul;47.6222;6.1553;minor
Chateaurenard;43.8825;4.855;
Saint-Amand-les-Eaux;50.4481;3.4269;
Verrieres-le-Buisson;48.7475;2.2628;
Les Herbiers;46.8711;-1.0136;
Montivilliers;49.5461;0.1881;
Guerande;47.3281;-2.4292;
Chateau-Thierry;49.0464;3.4031;minor
Bois-Guillaume;49.47;1.1194;
Les Sables-d'Olonne;46.4972;-1.7833;minor
Trelaze;47.4461;-0.4664;
Toul;48.675;5.8917;minor
Coulommiers;48.8156;3.0836;
Saint-Avertin;47.3667;0.7267;
Chenove;47.2911;5.0072;
Beaucaire;43.8072;4.6433;
Issoire;45.5442;3.2489;minor
Dinan;48.4556;-2.0503;minor
Pornic;47.1156;-2.1033;
Tarascon;43.805;4.6594;
Villers-les-Nancy;48.6731;6.1547;
Pamiers;43.1164;1.6108;minor
Blanquefort;44.9106;-0.6375;
Castanet-Tolosan;43.5156;1.4981;
Saint-Avold;49.1042;6.7081;
Fos-sur-Mer;43.4544;4.9436;
Saint-Omer;50.7483;2.2608;minor
Fontainebleau;48.4089;2.7017;minor
Hautmont;50.2481;3.9244;
Crepy-en-Valois;49.2344;2.8875;
Pontivy;48.0686;-2.9628;minor
Gaillac;43.9006;1.8983;
Saint-Rambert;45.4994;4.24;
Fameck;49.2992;6.1097;
Caudry;50.125;3.4117;
Wittenheim;47.8075;7.3369;
Bouc-Bel-Air;43.4544;5.4144;
Bailleul;50.7375;2.7339;
Senlis;49.2072;2.5867;minor
Flers;48.7483;-0.5694;
Outreau;50.7039;1.5939;
Morlaix;48.5775;-3.8278;minor
Tulle;45.2658;1.7722;minor
Olonne-sur-Mer;46.5361;-1.7728;
Guipavas;48.4336;-4.4008;
Saint-Genis-Pouilly;46.2433;6.0214;
Avrille;47.5069;-0.5889;
Bar-le-Duc;48.7717;5.1672;minor
Laxou;48.6856;6.1522;
Kingersheim;47.7914;7.3381;
Meru;49.2358;2.135;
Andresy;48.9808;2.0583;
Romilly-sur-Seine;48.5158;3.7267;
Pont-a-Mousson;48.9044;6.0542;
